series_id,name_en,category,subcategory,product_role,actuation,pharma_relevance,pharma_applications,key_features,operating_pressure,media_temperature,sterilization_temperature,nominal_sizes,body_materials,seal_or_diaphragm_materials,connections,conformities,protocols,official_url,accessed_date,evidence_grade,notes
N085,Plastic overflow valve,Valve Technology,Pressure Control Valves Check Valves And Strainers,Plastic overflow valve,,LOW,,"Valve adjustments can also be made under working pressure | The optimization of piston, springs and control face ensures good control characteristics | The actuator is hermetically separated from the medium",0 Up to 10 bar,-20 Up to 100 °C,,DN 65 Up to 100,"PP-B, grey PVC-U, grey PVDF",,Flange Spigot Union end,EAC,,https://www.gemu-group.com/en/products/valve-technology/pressure-control-valves-check-valves-and-strainers/n085,2026-06-09,A,"Official page description: The GEMÜ N085 pressure relief valve protects the plant and the piping system from gauge pressure and reduces pressure peaks. The third pipe spigot enables the valve to be installed in the main pipe. If the pressure increases, the spring is raised and the valve opens. The pressure is reduced to the preset value and can escape via the third pipe spigot into an adjacent pipe. If the pressure falls, the spring force presses the diaphragm in the direction of the seal seat and the valve closes. Depending on requirements, the spring force can be adjusted using a set screw."
N086,Plastic pressurising valve,Valve Technology,Pressure Control Valves Check Valves And Strainers,Plastic pressurising valve,,LOW,,"The working pressure can be very easily adjusted using a set screw and secured with the integrated lock nut. If required, the setting that has been made can be lead sealed | The flow-efficient design of the valve body ensures good flow rate values | Control errors are kept to a minimum due to the large control face and the spiral spring | The actuator is hermetically separated from the medium",0 Up to 10 bar,-20 Up to 100 °C,,DN 65 Up to 100,"PP-B, grey PVC-U, grey PVDF",,Flange Spigot Union end,EAC,,https://www.gemu-group.com/en/products/valve-technology/pressure-control-valves-check-valves-and-strainers/n086,2026-06-09,A,"Official page description: The GEMÜ back pressure valve ensures constant back pressure in process engineering systems. If the inlet pressure rises above a preset value, the diaphragm is raised against the spring force. The valve opens and the excess pressure can escape into the outlet line. If the pressure on the inlet side is reduced, the valve closes as the spring force pushes the diaphragm against the seal seat. The spring force can be adjusted as required using an adjusting screw and secured with the lock nut."
N182,Plastic pressure reducer,Valve Technology,Pressure Control Valves Check Valves And Strainers,Plastic pressure reducer,,LOW,,"The working pressure can be very easily adjusted using a set screw and secured with the integrated lock nut. If required, the setting that has been made can be lead sealed | The flow-efficient design of the valve body ensures good flow rate values | Control errors are kept to a minimum due to the large control face and the spiral spring | The actuator is hermetically separated from the medium",0 Up to 10 bar,-20 Up to 100 °C,,DN 10 Up to 50,"PP-B, grey PVC-U, grey PVDF",,Flange Spigot Union end,EAC,,https://www.gemu-group.com/en/products/valve-technology/pressure-control-valves-check-valves-and-strainers/n182,2026-06-09,A,"Official page description: The GEMÜ N182 pressure reducer ensures that a constant outlet pressure is maintained in process plants by utilizing the pressure differential. If the pressure increases on the outlet side, the spring force is lower and the spring is raised, closing the valve. The pressure is reduced until the spring force and the outlet pressure are the same. If the pressure falls, the spring force presses against the diaphragm surface via the control aperture, opening the valve. Depending on requirements, the outlet pressure can be read off a diaphragm-protected pressure gauge and the spring force adjusted using a set screw."
N185,Plastic overflow valve,Valve Technology,Pressure Control Valves Check Valves And Strainers,Plastic overflow valve,,LOW,,"Valve adjustments can also be made under working pressure | The optimization of piston, springs and control face ensures good control characteristics | The actuator is hermetically separated from the medium",0 Up to 10 bar,-20 Up to 100 °C,,DN 10 Up to 50,"PP-B, grey PVC-U, grey PVDF",,Flange Spigot Union end,EAC,,https://www.gemu-group.com/en/products/valve-technology/pressure-control-valves-check-valves-and-strainers/n185,2026-06-09,A,"Official page description: The GEMÜ N185 pressure relief valve protects the plant and the piping system from gauge pressure and reduces pressure peaks. The third pipe spigot enables the valve to be installed in the main pipe. If the pressure increases, the spring is raised and the valve opens. The pressure is reduced to the preset value and can escape via the third pipe spigot into an adjacent pipe. If the pressure falls, the spring force presses the diaphragm in the direction of the seal seat and the valve closes. Depending on requirements, the spring force can be adjusted using a set screw."
N570,Plastic mud flaps,Valve Technology,Pressure Control Valves Check Valves And Strainers,Plastic mud flaps,,LOW,,Easy to service | High flow rates due to angle seat design | Low weight | Corrosion resistant plastic body,0 to 16 bar,5 to 80 °C,,DN 15 to 50,"PP-H, natural PVC-U",EPDM FKM,Clamp Flange Solvent cement socket Spigot thread,,,https://www.gemu-group.com/en/products/valve-technology/pressure-control-valves-check-valves-and-strainers/n570,2026-06-09,A,Official page description: The GEMÜ N570 strainer has a body made of plastic (either PVC-U or PP-H). The sealing elements are manufactured from EPDM and FPM. Contaminants in the medium are retained by the integrated filter insert.
R90,Metal non-return valve,Valve Technology,Pressure Control Valves Check Valves And Strainers,Metal non-return valve,,MEDIUM,,"Suitable for low and high temperatures | Standardized length to DIN EN 558, series 49 | Available as option free of oil and grease | A special disc guide prevents the disc from tilting and the occurrence of strong flutter | Drip and bubble-tight to EN 12266-1/P12, leakage rate A to G",0 to 50 bar,-196 to 400 °C,,DN 15 to 300,"1.0619, galvanized cast steel material 1.4408, investment casting material",EPDM FKM NBR PTFE,Flange,ATEX DVGW Drinking water EAC FDA KTW,,https://www.gemu-group.com/en/products/valve-technology/pressure-control-valves-check-valves-and-strainers/r90,2026-06-09,A,"Official page description: The GEMÜ R90 is a metal disco check valve with flange connection and standardized length to DIN EN 558. The valve body, disc and seal are available in various materials. In the version with metallic seal, the GEMÜ R90 valve can be used at high temperatures up to 400 °C."
102,Direct operated process solenoid valve made of plastic,Valve Technology,Process Solenoid Valves,Direct operated process solenoid valve made of plastic,solenoid,LOW,,Good cleanability | Suitable for clean and slightly contaminated media | Hermetic separation between medium and actuator | The solenoid can be replaced without removing the valve body from the piping,0 to 4 bar,-20 to 100 °C,,DN 6 to 10,"PVC-U, grey PVDF",,Solvent cement socket thread,UL Recognized US,,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/102,2026-06-09,A,Official page description: The GEMÜ 102 directly controlled 2/2-way solenoid valve has a completely plastic encapsulated coil. The armature is sealed by a bellows made of PTFE backed by an additional safety diaphragm. The valve body is available in various materials and with a straight through or angle valve body design.
202,Direct operated process solenoid valve made of plastic,Valve Technology,Process Solenoid Valves,Direct operated process solenoid valve made of plastic,solenoid,LOW,,Good cleanability | Suitable for clean and slightly contaminated media | Hermetic separation between medium and actuator | The solenoid can be replaced without removing the valve body from the piping,0 to 2 bar,-20 to 100 °C,,DN 10 to 15,"PVC-U, grey PVDF",,thread,UL Recognized US,,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/202,2026-06-09,A,Official page description: The GEMÜ 202 directly controlled 2/2-way solenoid valve has a completely plastic encapsulated coil. The armature is sealed by a bellows made of PTFE backed by an additional safety diaphragm. The valve body is available in various materials and with a straight through or angle valve body design.
205,Direct operated process solenoid valve made of plastic,Valve Technology,Process Solenoid Valves,Direct operated process solenoid valve made of plastic,manual | solenoid,LOW,,Hermetic separation between medium and actuator | In case of power failure operation possible by manual override | Standard integral optical position indicator,0 to 6 bar,-20 to 60 °C,,DN 10 to 50,"PVC-U, grey PVDF",,Solvent cement socket Spigot Threaded connection Union end,,,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/205,2026-06-09,A,Official page description: The GEMÜ 205 directly controlled 2/2-way plastic solenoid valve has a high performance coil. It is hermetically separated from the medium by means of a flexible PTFE bush. The armature is sealed by a bellows made of PTFE backed by an additional safety diaphragm. The plug has a rectifier for use with an AC supply. A manual override and an optical position indicator are integrated as standard.
8253,Force-controlled process solenoid valve made of metal,Valve Technology,Process Solenoid Valves,Force-controlled process solenoid valve made of metal,solenoid,LOW,,Valve operates without minimum pressure differential | High flow rate | Soft closing action | Suitable for vacuum applications | Simple coil replacement without tools (Click-on®) | NPT thread available | Explosion protected solenoids acc. to ATEX available as an option | CSA approval available,0 to 16 bar,-10 to 110 °C,,DN 8 to 50,"1.4408, investment casting material CW617N, brass",,,CSA EAC,,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/8253,2026-06-09,A,"Official page description: The GEMÜ 8253 2/2-way solenoid valve with a positive lift diaphragm has a brass or stainless steel valve body. All media wetted parts are made of NBR, FPM, EPDM, brass, PVDF or stainless steel. The valve is suitable for inert medium such as air, water and oil."
8257,Force-controlled process solenoid valve made of metal,Valve Technology,Process Solenoid Valves,Force-controlled process solenoid valve made of metal,solenoid,LOW,,Valve operates without minimum pressure differential | Soft closing action | Compact design | Suitable for vacuum applications | Explosion protected solenoids acc. to ATEX available as an option | Optimum media compatibility due to choice of materials | NPT thread available | Option: for liquids and steam up to 150 °C,0 to 10 bar,-10 to 150 °C,,,"1.4408, investment casting material CW617N, brass",,,EAC,,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/8257,2026-06-09,A,"Official page description: The GEMÜ 8257 2/2-way solenoid valve with a positive lift diaphragm is electromagnetically operated and has a brass or stainless steel valve body. All media wetted parts are made of NBR, HNBR, FKM, EPDM, brass or stainless steel. The valve is suitable for inert media such as air, water and oils."
8258,Auxiliary controlled process solenoid valve made of metal,Valve Technology,Process Solenoid Valves,Auxiliary controlled process solenoid valve made of metal,solenoid,LOW,,"Low power consumption | High flow rate | Soft closing action | Low minimum pressure differential | Simple, compact construction | Simple coil replacement without tools (Click-on®) | Optional manual override | Explosion protected solenoids acc. to ATEX available as an option | Type examination up to DN 25 to DIN EN 60730-2-8 | Optional mounting bracket available (not pre-assembled) | NPT thread available","0,1 to 16 bar",-10 to 110 °C,,DN 8 to 50,"1.4408, investment casting material CW617N, brass",,,EAC,,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/8258,2026-06-09,A,"Official page description: The GEMÜ 8258 servo-assisted 2/2-way solenoid valve has a brass or stainless steel valve body. All parts that come into contact with the medium are made from stainless steel, NBR, EPDM or FKM. The valve is suitable for inert media such as air, water and oils."
8259,Direct operated process solenoid valve made of metal,Valve Technology,Process Solenoid Valves,Direct operated process solenoid valve made of metal,solenoid,LOW,,"Direct acting, normally open or normally closed | Valve operates without minimum pressure differential | High flow rate | Compact design | Simple coil replacement without tools (Click-on®) | Suitable for vacuum applications | Explosion protected solenoids acc. to ATEX available as an option | UL and CSA approval available | Various threaded connections per nominal size",0 to 20 bar,-10 to 110 °C,,DN 2 to 5,"1.4408, investment casting material CW617N, brass",,thread,ATEX EAC,,https://www.gemu-group.com/en/products/valve-technology/process-solenoid-valves/8259,2026-06-09,A,"Official page description: The GEMÜ 8259 direct-acting electromagnetic 2/2-way solenoid valve has a brass or stainless steel valve body. All parts that come into contact with the medium are made from FKM, NBR, PTFE, EPDM, brass or stainless steel. The valve is suitable for inert liquids and gases."
652,Stainless steel pulsation damper,Valve Technology,Pulsation Dampers,Stainless steel pulsation damper,,MEDIUM,无菌主工艺、配液、纯化或卫生输送；CIP/SIP与蒸汽灭菌,"Pre-defined compensation volume | Defined pressure range | CIP/SIP capable | Autoclave capability, depending on version | Suitable for inert, corrosive, liquid and gaseous media | Valve body and diaphragm available in various materials and designs | Compact design (ideal when space is at a premium)",0 to 10 bar,-20 to 100 °C,max. 150 °C,DN 15 to 80,"(316L), forging material 1.4435 (BN2), forged material 1.4539 (904L), forged material",EPDM PTFE/EPDM,Spigot,BSE/TSE EAC FDA Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 USP,,https://www.gemu-group.com/en/products/valve-technology/pulsation-dampers/652,2026-06-09,A,"Official page description: The pulsation damper GEMÜ 652 has been designed for use with liquid and gaseous media in sterile areas of application. In many production plants, unwanted pressure surges arise which are generated by switching on pumps or quickly switching valves, for example. These pressure surges can cause damage to plant components such as filters, sensors or piping, and can lead to contamination of the media due to the diaphragm being briefly lifted. The pulsation damper GEMÜ 652 compensates for pressure surges within a specific pressure range using a pre-defined volume. The valve body is open in-line with flow direction, and not intended to shut off the medium."
314,Pneumatic 3/2-way metal seat valve,Valve Technology,Seat Valves,Pneumatic 3/2-way metal seat valve,pneumatic,MEDIUM,CIP/SIP辅助回路与公用工程,Robust actuator housing made of aluminium | Suitable for mixing and distributing media | Available as shut-off or control valve | Improved control characteristics thanks to POM piston sleeve | Long service life,0 Up to 16 bar,-10 to 180 °C,,DN 15 to 50,"CC499K, cast bronze material","PTFE PTFE, reinforced",thread,,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/314,2026-06-09,A,Official page description: The GEMÜ 314 3/2-way globe valve has a robust low-maintenance aluminium piston actuator and is pneumatically operated. The double sided valve plug is connected to the actuator via a valve spindle. The valve spindle is sealed by a self-adjusting gland packing providing low-maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage.
505,Manual 2/2-way poppet valve with metal body,Valve Technology,Seat Valves,Manual 2/2-way poppet valve with metal body,manual,MEDIUM,CIP/SIP辅助回路与公用工程,"Free from non-ferrous metals | Welded valve plug/valve spindle design to remove possible contamination areas | Low maintenance, fixed seat plug (without threads) | Stainless steel bellows as spindle seal for high operating temperatures | Batch traceability for all media-wetted components",0 to 10 bar,-10 to 185 °C,,DN 8 to 80,"1.4435 (316L), block material 1.4435, investment casting material",PTFE,Clamp Spigot,ATEX CRN EAC FDA Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 USP,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/505,2026-06-09,A,Official page description: The GEMÜ 505 2/2-way angle seat valve has a high-temperature resistant plastic handwheel and is manually operated. The valve is suitable for pure steam and gaseous media. The sealing at the valve seat is made of PTFE. The valve spindle is sealed with a stainless steel bellows. Valve plug and valve spindle are welded together to prevent dirt ingress.
507,Manual 2/2-way globe valve with metal body,Valve Technology,Seat Valves,Manual 2/2-way globe valve with metal body,manual,MEDIUM,CIP/SIP辅助回路与公用工程,High flow rates due to angle seat design | Handwheel lock for spindle fixation to set a constant flow rate | Available as shut-off or control valve | Suitable for vacuum up to 20 mbar (a),0 to 25 bar,-10 to 210 °C,,DN 6 to 80,"(316L), forging material 1.4408, investment casting material 1.4435, investment casting material","1.4404 PTFE PTFE, reinforced",Clamp Flange Spigot thread,ATEX CRN EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 RoHS TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/507,2026-06-09,A,Official page description: The 2/2-way angle seat globe valve GEMÜ 507 has an ergonomically designed plastic handwheel and is manually operated. The valve spindle is sealed by a self-adjusting gland packing providing low-maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing also protects the seal against contamination and damage.
514,Pneumatic 2/2-way globe valve made of metal,Valve Technology,Seat Valves,Pneumatic 2/2-way globe valve made of metal,pneumatic,MEDIUM,CIP/SIP辅助回路与公用工程,Robust actuator housing made of aluminium | Option for increased operating temperatures | Improved control characteristics thanks to POM piston sleeve | Optional for food contact according to Regulation (EC) No. 1935/2004 | High flow rates due to angle seat design | Suitable for vacuum up to 20 mbar (a),0 to 25 bar,-10 to 210 °C,,DN 8 to 80,"1.4408, investment casting material 1.4435, investment casting material","1.4404 PTFE PTFE, reinforced",Flange Spigot thread,CRN EAC FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 RoHS TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/seat-valves/514,2026-06-09,A,Official page description: 2/2-way angle seat globe valve GEMÜ 514 has a low-maintenance aluminium piston actuator and is pneumatically operated. The valve spindle is sealed by a self-adjusting gland packing providing low-maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing also protects the seal against contamination and damage.
514Z,Pneumatic 2/2-way metal seat valve,Valve Technology,Seat Valves,Pneumatic 2/2-way metal seat valve,pneumatic,MEDIUM,CIP/SIP辅助回路与公用工程,"In addition to full stroke, a partial stroke can be set for simple control and dosing tasks | Can be used individually, eliminating the need for complex pipework and valve controls | Robust aluminium actuator | Extensive range of accessories | Individual applicability, no need for complex valve controls",0 to 25 bar,-10 to 210 °C,,DN 15 to 80,"1.4408, cast stainless steel material 1.4435, investment casting material CC499K, cast bronze material","1.4404 PTFE PTFE, reinforced",Flange Spigot thread,CRN EAC FDA,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/514z,2026-06-09,A,"Official page description: The GEMÜ 514Z 2/2-way angle seat globe valve has a low-maintenance, two-stage aluminium double-piston actuator and is pneumatically operated. The valve spindle is sealed by a self-adjusting gland packing providing low-maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing also protects the seal against contamination and damage."
519,Electromotive 2/2-way globe valve with metal body,Valve Technology,Seat Valves,Electromotive 2/2-way globe valve with metal body,motorized,MEDIUM,CIP/SIP辅助回路与公用工程,Motorized linear actuator for open-close applications | Safety shut-down integrated | Integrated emergency power supply module (optional) | Standard optical position indicator and manual override | Self-locking spindle actuator | Electrical position indicator GEMÜ 1215 (optional),0 Up to 40 bar,-10 to 180 °C,,DN 15 to 50,"1.4408, investment casting material EN-GJS-400-18-LT (GGG 40.3)","1.4404 PTFE PTFE, reinforced",Flange,FDA Regulation (EC) No. 1935/2004 TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/seat-valves/519,2026-06-09,A,Official page description: The GEMÜ 519 eSyLite is a motorized 2/2-way globe valve. It is available as an Open/Close version. The valve spindle is sealed by a self-adjusting gland packing providing low-maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage. An integrated optical position indicator is standard. The self-locking actuator holds its position in a stable manner in the event of power supply failure.
530,Pneumatic 2/2-way metal seat valve,Valve Technology,Seat Valves,Pneumatic 2/2-way metal seat valve,pneumatic,MEDIUM,CIP/SIP辅助回路与公用工程,Stainless steel actuator resistant to corrosive ambient conditions | For contact with food in accordance with Regulation (EC) No. 1935/2004 | Extended temperature and pressure range | Precise actuator design depends on operating pressure | ATEX optionally available | Suitable for shut-off and control functions | Suitable for vacuum up to 20 mbar (a),0 to 40 bar,-40 to 210 °C,,DN 15 to 100,"1.4408, investment casting material EN-GJS-400-18-LT (GGG 40.3)","1.4404 PTFE PTFE, reinforced",Flange,ATEX CRN EAC FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 RoHS TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/seat-valves/530,2026-06-09,A,"Official page description: The GEMÜ 530 2/2-way globe valve has a robust, low-maintenance stainless steel piston actuator and is pneumatically operated. The valve spindle is sealed by a self-adjusting gland packing providing low-maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage."
534,Pneumatic 2/2-way poppet valve with metal body,Valve Technology,Seat Valves,Pneumatic 2/2-way poppet valve with metal body,pneumatic,MEDIUM,CIP/SIP辅助回路与公用工程,Low actuator weight due to plastic body | ATEX optionally available | Optional for food contact according to Regulation (EC) No. 1935/2004 | Quick drive change and free drive positioning | Suitable for vacuum up to 20 mbar (a) | Available as shut-off or control valve,0 to 40 bar,-10 to 180 °C,,DN 15 to 100,"1.4408, cast stainless steel material EN-GJS-400-18-LT (GGG 40.3)","1.4404 PTFE PTFE, reinforced",Flange,ATEX CRN EAC FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 RoHS TA Luft (German Clean Air Act),,https://www.gemu-group.com/en/products/valve-technology/seat-valves/534,2026-06-09,A,Official page description: The GEMÜ 534 2/2-way globe valve has a plastic piston actuator and is pneumatically operated. The valve spindle is sealed by a self-adjusting gland packing providing low-maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage.
536,Pneumatic 2/2-way metal seat valve,Valve Technology,Seat Valves,Pneumatic 2/2-way metal seat valve,pneumatic,MEDIUM,CIP/SIP辅助回路与公用工程,"Robust, low-maintenance diaphragm actuator | High switching cycles also achievable in large nominal widths | Available as shut-off or control valve | Precise controllability due to guided control crown and actuator with control diaphragm | Suitable for vacuum up to 20 mbar (a) | Versions for higher temperatures are available on request | Extensive range of spare parts available",0 to 40 bar,-10 to 210 °C,,DN 32 to 150,"1.4408, investment casting material EN-GJS-400-18-LT (GGG 40.3)","PTFE PTFE, reinforced",Flange,ATEX CRN EAC Oxygen RoHS,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/536,2026-06-09,A,Official page description: The GEMÜ 536 2/2-way globe valve has a robust low maintenance membrane actuator and is pneumatically operated. The valve is particularly suitable for use as a control valve. The valve plug is fixed to the spindle in such a way as to allow flexing during closure in order to ensure tight shut off. The valve spindle is sealed by a self-adjusting gland packing providing low maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage.
537,Manual 2/2-way poppet valve with metal body,Valve Technology,Seat Valves,Manual 2/2-way poppet valve with metal body,manual,MEDIUM,CIP/SIP辅助回路与公用工程,Extended pressure stage range up to PN 40 | Handwheel lock for spindle fixation to set a constant flow rate | Continuous series with SG iron and stainless steel bodies | Seat seal made of PTFE or PTFE/glass fibre | Suitable for vacuum up to 20 mbar (a) | High flow rates and compact design,0 to 40 bar,-10 to 210 °C,,DN 15 to 50,"1.4408, investment casting material EN-GJS-400-18-LT (GGG 40.3)","PTFE PTFE, reinforced",Flange,ATEX CRN EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 RoHS TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/537,2026-06-09,A,Official page description: The GEMÜ 537 2/2-way globe valve has an ergonomically designed plastic handwheel and is manually operated. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage. A handwheel extension available as an option enables installation of the valve in insulated pipelines.
539,Electromotive 2/2-way metal seat valve,Valve Technology,Seat Valves,Electromotive 2/2-way metal seat valve,motorized,MEDIUM,CIP/SIP辅助回路与公用工程,"Linear or modified equal-percentage control characteristics | Open/Close function, positioner and process controller | Actuation force and actuating speed variably adjustable | Operable via web interface eSy-Web and Modbus TCP | Extensive functions, such as position feedback, diagnostic functions and opening and closing stroke limitation",0 Up to 40 bar,-40 to 250 °C,,DN 15 to 100,"1.4408, investment casting material EN-GJS-400-18-LT (GGG 40.3)","1.4404 PTFE PTFE, reinforced",Flange,EAC FDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 TA Luft (German Clean Air Act),Modbus,https://www.gemu-group.com/en/products/valve-technology/seat-valves/539,2026-06-09,A,Official page description: The GEMÜ 539 eSyDrive is a motorized 2/2-way globe valve with a hollow shaft electric actuator. The eSyDrive hollow shaft actuator can be operated as On/Off or with integrated positioner or process controller. The valve spindle is sealed by a self-adjusting gland packing providing low-maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage. An integral optical and electrical position indicator is standard.
550,Pneumatic 2/2-way metal seat valve,Valve Technology,Seat Valves,Pneumatic 2/2-way metal seat valve,pneumatic,MEDIUM,CIP/SIP辅助回路与公用工程,"Suitable for shut-off and control functions for gaseous, liquid and viscous media | Wide range of adaptation options for add-on components and accessories | For contact with food in accordance with Regulation (EC) No. 1935/2004 and FDA-compliant | Suitable for vacuum up to 20 mbar (a) | Robust stainless steel actuator resistant to corrosive ambient conditions | Particularly compact design, actuator size 0G1/0M1 | Optionally available with USP Class VI, oxygen approval and ATEX",0 to 25 bar,-40 to 210 °C,,DN 6 to 80,"1.4408, investment casting material 1.4435, investment casting material","1.4404 PTFE PTFE, reinforced",Clamp Flange Spigot thread,ATEX CRN EAC FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 RoHS TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/550,2026-06-09,A,Official page description: The GEMÜ 550 2/2-way angle seat globe valve has a low-maintenance stainless steel piston actuator and is pneumatically operated. The valve spindle is sealed by a self-adjusting gland packing providing low-maintenance and reliable valve spindle sealing even after a long service life. A wiper ring fitted in front of the gland packing protects the seal against contamination and damage.
553,Modular poppet valve with flexible actuator options,Valve Technology,Seat Valves,Modular poppet valve with flexible actuator options,pneumatic | motorized | manual,MEDIUM,CIP/SIP辅助回路与公用工程,"Suitable for mixing, distributing and collecting media | Space-saving modular design | Several valve and sensor modules can be individually combined | Reduced servicing times of the plant compared with single valves as the complete module can be replaced | Faster actuator replacement and easily rotatable due to fixing via union nut | Selection of manual, pneumatic and electromotive actuators available",0 to 25 bar,-10 to 180 °C,,DN 15 to 20,"1.4408, investment casting material",PTFE,thread,FDA Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 RoHS,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/553,2026-06-09,A,Official page description: The modular GEMÜ 553 distribution valve comprises various globe valve modules. These can be equipped with manual pneumatic or motorized actuators. The downstream media is isolated using a PTFE seal. The valve spindle is sealed by a self-adjusting gland packing. This provides a low maintenance and reliable valve spindle seal even after an extended period of operation. The wiper ring that is installed upstream of the gland packing also protects this against contamination and damage. The individual modules can be easily connected using screws.
554,Pneumatic 2/2-way poppet valve with metal body,Valve Technology,Seat Valves,Pneumatic 2/2-way poppet valve with metal body,pneumatic,MEDIUM,CIP/SIP辅助回路与公用工程,Low actuator weight due to plastic body | ATEX optionally available | Optional for food contact according to Regulation (EC) No. 1935/2004 | Quick drive change and free drive positioning | Suitable for vacuum up to 20 mbar (a) | Available as shut-off or control valve,0 to 25 bar,-10 to 180 °C,,DN 6 to 80,"1.4408, investment casting material 1.4435, investment casting material","1.4404 PTFE PTFE, reinforced",Clamp Flange Spigot thread,ATEX CRN EAC FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 RoHS TA Luft (German Clean Air Act) USP,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/554,2026-06-09,A,"Official page description: The GEMÜ 554 2/2-way angle seat globe valve has a plastic piston actuator and is pneumatically operated. The valve spindle is sealed by a self-adjusting gland packing or a compact seal cartridge, depending on the size and version. A wiper ring or the wiper contour of the seal cartridge additionally protects the valve spindle against contamination and damage. This provides low-maintenance and reliable spindle sealing even after a long service life."
555,Pneumatic 2/2-way metal seat valve,Valve Technology,Seat Valves,Pneumatic 2/2-way metal seat valve,pneumatic,MEDIUM,CIP/SIP辅助回路与公用工程,"Free from non-ferrous metals | Welded valve plug/valve spindle design to remove possible contamination areas | Low maintenance, fixed seat plug (without threads) | Stainless steel bellows as spindle seal for high operating temperatures | Batch traceability for all media-wetted components",0 to 10 bar,-10 to 185 °C,,DN 8 to 80,"1.4435 (316L), block material 1.4435, investment casting material",PTFE,Clamp Spigot,ATEX CRN EAC FDA FMEDA Oxygen Reg. (EU) No. 10/2011 Regulation (EC) No. 1935/2004 Regulation (EC) No. 2023/2006 USP,,https://www.gemu-group.com/en/products/valve-technology/seat-valves/555,2026-06-09,A,Official page description: The GEMÜ 555 2/2-way angle seat valve has a stainless steel piston actuator and is pneumatically operated. The valve is particularly designed for isolating pure steam. The sealing at the valve seat is made of PTFE. The valve spindle is sealed with a stainless steel bellows. Valve plug and valve spindle are welded together to prevent dirt ingress.
